,약국명_y,주소_y,전화번호,좌표정보(X),좌표정보(Y),월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영
270,백두산약국,"전라남도 나주시 공산면 공산로 106-1, 백두산약국 (공산면)",061-335-3486,126.6100311,34.9416965,08:00~17:50,08:00~17:50,08:00~17:30,08:00~17:50,08:00~17:50,-,-,-
271,백련약국,전라남도 무안군 무안읍 무안중앙로 1,061-453-4913,126.478432,34.9882133,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~17:00,-,-
272,백세가약국,전라남도 목포시 영산로 477 (상동),061-279-8163,126.416379,34.8086479,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
273,백세로약국,전라남도 함평군 함평읍 중앙길 70,061-324-0330,126.5226548,35.0630844,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~18:00,-,-
274,백세약국,"전라남도 목포시 영산로 253, 1층 (용당동)",061-281-8274,126.3926024,34.8032584,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~14:00,-,-
275,백수약국,전라남도 여수시 중앙로 9-1 (서교동),061-641-3988,127.7285515,34.7406134,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~16:00,-,-
276,백약국,전라남도 여수시 좌수영로 25 (광무동),061-642-2800,,,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~13:00,-,-
277,백운약국,전라남도 여수시 여서1로 52 (여서동),061-655-2999,127.7036214,34.7521617,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,08:30~24:00
278,백제약국,전라남도 광양시 광양읍 순광로 689 (광양읍),061-763-1356,127.5892636,34.9700419,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~12:30,13:00~18:00,-
279,백제약국,"전라남도 구례군 구례읍 구례1길 48, 송원프라자상가아파트 1층 2호",061-782-5448,127.4662462,35.2097515,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,-,-,-
280,백제약국,"전라남도 완도군 완도읍 개포로 154-7,",061-555-2460,126.7452064,34.3191681,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,07:30~13:00,-,-
281,백제온누리약국,"전라남도 고흥군 도양읍 녹동남문길 8-27,",061-843-0031,127.13516,34.5277484,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
282,백화당약국,"전라남도 고흥군 고흥읍 봉황길 29,",061-832-0404,127.2849526,34.6082748,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,09:00~13:00,-,-
283,벌교희망약국,전라남도 보성군 벌교읍 채동선로 232,061-857-7532,127.3450849,34.8427911,07:30~17:30,07:30~17:30,07:30~17:30,07:30~17:30,07:30~17:30,07:30~12:30,-,-
284,베스트약국,전라남도 순천시 해룡면 지봉로 372-1,061-724-8566,127.534008,34.9467065,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00
285,별량사랑약국,전라남도 순천시 별량면 별량길 73,061-744-9827,,,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
286,별량우리들약국,전라남도 순천시 별량면 별량길 125,061-742-0970,127.451026,34.8711925,08:30~12:00,08:30~12:00,08:30~12:00,08:30~12:00,08:30~12:00,08:30~12:00,-,-
287,병영약국,전라남도 강진군 병영면 병영성로 117,061-433-7557,126.8156671,34.7149029,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:30~13:00,-,-
288,보건당약국,"전라남도 나주시 남교1길 1 (이창동, 보건당약국)",061-333-3350,126.7145457,34.9959541,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,09:00~19:00,09:00~19:00
289,보건약국,"전라남도 해남군 해남읍 해남로 39, 고기나라",061-536-6055,,,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~13:00,-,-
290,보건약국,전라남도 곡성군 곡성읍 중앙로 89,061-363-2580,127.2926669,35.2801822,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,-,-
291,보람약국,전라남도 영암군 삼호읍 대불주거로 98,061-462-0649,,,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~18:00,-,-
292,보림약국,"전라남도 여수시 화양면 나진길 13-1, 1층",061-685-8508,127.6142718,34.7081789,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,08:30~13:00,-,-
293,보문약국,"전라남도 순천시 황전면 괴목길 87,",061-754-9798,127.4296268,35.103123,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,09:00~13:00,08:30~21:00
294,보배약국,"전라남도 광양시 공영로 77, (중동)",061-795-0077,127.6976875,34.9360346,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
295,보성약국,"전라남도 보성군 보성읍 현충로 92,",061-852-3989,127.081907,34.7675097,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~15:00,-,-
296,보일약국,"전라남도 보성군 보성읍 현충로 109,",061-852-2165,127.083246,34.7686526,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,08:00~13:00,-,-
297,복음사랑약국,전라남도 목포시 백년대로297번길 8,061-281-6900,126.4199034,34.804531,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~21:00,09:00~18:00,09:00~18:00
298,복음약국,"전라남도 영광군 영광읍 신남로 270, 1층 (영광읍)",061-353-9977,126.5110568,35.2745427,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:30,-,-
299,본초당한약국,전라남도 순천시 오천2길 27-1 (오천동),061-752-2902,,,10:00~16:00,10:00~16:00,10:00~16:00,10:00~16:00,-,-,-,-
300,봄봄약국,"전라남도 순천시 봉화3길 14-28, 1층 105호 (조례동)",061-725-1006,,,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~16:00,09:00~13:00,09:00~13:00
301,봉계약국,전라남도 여수시 좌수영로 676 (봉계동),061-684-1616,127.6944057,34.7837099,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
302,봉황 종로 약국,전라남도 나주시 봉황면 봉황로 767 (봉황면),061-335-5252,126.7855353,34.9588331,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,-,-,-
303,봉황약국,"전라남도 나주시 봉황면 봉황로 757,",061-331-1957,,,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,09:00~13:00,-,-
304,부부약국,전라남도 영암군 영암읍 오리정길 2 (영암읍),061-472-5555,,,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~16:00,-,-
305,부부약국,전라남도 진도군 고군면 지수길 51-5,061-543-1157,126.3441292,34.4899547,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,-,-,-
306,부부약국,"전라남도 여수시 중앙로 61-1, (교동)",061-665-2468,127.7343953,34.7403151,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
307,부부약국,"전라남도 고흥군 고흥읍 고흥로 1754,",061-835-7344,127.28595,34.607384,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,-,-
308,부부약국,전라남도 구례군 구례읍 북문길 4,061-782-2041,127.4650942,35.2110222,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,08:00~12:00,-,-
309,부주약국,전라남도 목포시 남악1로52번가길 3,061-242-3021,,,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~15:00,-,-
310,비전약국,전라남도 목포시 영산로 246 (산정동),061-279-5633,126.3933044,34.8026086,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~14:00,-,-
311,비타민약국,"전라남도 목포시 하당로 278, (옥암동)",061-284-7571,126.426418,34.8110715,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~18:00,22:00~24:00,22:00~24:00
312,비타민약국,전라남도 여수시 신월로 655,061-642-7755,127.7159916,34.7308082,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
313,빛가람약국,"전라남도 나주시 빛가람로 685, 403호 (빛가람동)",061-331-2974,126.7866636,35.0215185,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
314,빛가람포도약국,"전라남도 나주시 중야2길 29, 103,104,105호 (빛가람동)",061-820-8484,126.7846457,35.0171245,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~17:00,09:00~17:00
315,뿌리깊은한약국,전라남도 순천시 연동남길 29 (조례동),061-723-4075,,,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,-,-
316,사거리약국,전라남도 함평군 학교면 함영로 503,061-323-6018,126.5326038,35.0219491,07:40~18:00,07:40~18:00,07:40~18:00,07:40~18:00,07:40~18:00,07:40~13:00,-,-
317,사라약국,"전라남도 나주시 빛가람로 740, 107호 (빛가람동)",061-337-3920,126.7927413,35.0208476,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~15:00,-,-
318,사랑약국,전라남도 순천시 중앙로 110,061-752-8275,127.4842973,34.955339,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~17:00,-,-
319,사랑약국,"전라남도 여수시 시청로 42, 진남빌딩 1층 (학동)",061-685-1000,127.6631719,34.7654529,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
320,사랑약국,전라남도 무안군 해제면 현해로 1710-1,061-453-1295,126.292374,35.1107007,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,08:30~12:30,-,-
321,사랑약국,"전라남도 목포시 고하대로 795-1, (연산동)",061-279-5883,126.3797236,34.8170603,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-,-
322,사랑약국,전라남도 장성군 장성읍 청운1길 7 (장성읍),061-395-1001,126.7815852,35.3007389,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
323,사랑약국,전라남도 여수시 시청로 42 진남빌딩 1층 (학동),061-685-1000,127.6631719,34.7654529,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~14:00,-,-
324,사평약국,전라남도 화순군 사평면 사평길 19,061-372-6015,127.0980628,35.0057029,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,-,-
325,산이약국,전라남도 해남군 산이면 비석길 93,061-534-0042,126.4482879,34.6439121,07:30~17:30,07:30~17:30,07:30~17:30,07:30~17:30,07:30~17:30,07:30~12:00,-,-
326,산정힐링약국,"전라남도 목포시 양을로 151, 1층 (산정동)",061-279-8965,,,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~14:30,-,-
327,삼계약국,전라남도 장성군 삼계면 사창로 77,061-394-7572,126.6637081,35.2597646,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-
328,삼성약국,전라남도 화순군 능주면 죽수길 94,061-372-8041,126.9583765,34.991536,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,09:00~13:00
329,삼성약국,전라남도 목포시 자유로 41 (산정동),061-276-3993,126.394209,34.7937609,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
330,삼성약국,전라남도 여수시 신월로 758(봉산동),061-643-3200,127.7254098,34.7388632,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-
331,삼성약국,"전라남도 보성군 벌교읍 홍암로 21,",061-858-3080,127.3470683,34.8434695,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:00,08:00~13:00,-,-
332,삼일약국,"전라남도 여수시 중앙로 27, 한화생명빌딩 (충무동)",061-663-3269,127.7303862,34.7407227,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,-
333,삼일약국,"전라남도 목포시 백년대로297번길 8, (상동)",061-284-5115,,,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,-,-
334,삼일온누리약국,전라남도 목포시 삼학로 20 (호남동),612763131,,,08:00~17:00,08:00~17:00,08:00~12:00,08:00~17:00,08:00~17:00,08:00~12:00,-,-
335,삼호약국,전라남도 영암군 삼호읍 삼호중앙로 162,061-464-3570,126.4687232,34.7452899,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~12:30,-,-
336,상아약국,"전라남도 곡성군 옥과면 대학로 136,",061-362-5056,127.1345604,35.2756475,08:10~17:00,08:10~17:00,08:10~17:00,08:10~17:00,08:10~17:00,18:10~13:00,-,-
337,새 세기 동창종로약국,전라남도 나주시 세지면 세남로 3 (동창종로약국),061-334-1688,126.7481448,34.9214301,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,-,-
338,새공산약국,전라남도 나주시 공산면 공산로 124-7,061-335-8494,126.6087158,34.9428665,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:30,-,-
339,새금일약국,전라남도 완도군 금일읍 금일로 391 (),061-553-2107,127.0292667,34.3493135,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~19:00,08:00~18:00
340,새로운약국,전라남도 순천시 백강로 375-11 (조례동),061-723-7572,127.5281632,34.9498878,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~12:50,-,-
341,새롬약국,"전라남도 영광군 영광읍 옥당로 150,",061-351-0656,126.5016555,35.2754621,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,-,-
342,새물약국,"전라남도 나주시 이창1길 9, 1층 (이창동)",061-334-4355,126.7131078,34.9955108,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~12:30,-,-
343,새봄약국,전라남도 여수시 문수로 114 (여서동),061-655-2311,127.7072135,34.7549811,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,-,-
344,새서울약국,전라남도 나주시 금천면 금영로 942,061-331-7116,126.7539528,35.0314878,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~13:00,-,-
345,새서울약국,"전라남도 영암군 군서면 도갑사로 16,",061-471-0660,126.6340271,34.7620239,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~13:00,-,-
346,새서울약국,"전라남도 화순군 춘양면 춘양로 94-1,",061-375-6323,126.9610256,34.9509537,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
347,새싹약국,전라남도 여수시 망마로 11(학동),070-4108-2580,127.6624707,34.7642726,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
348,새알파약국,"전라남도 여수시 동문로 63, (관문동)",061-662-4140,127.740426,34.7426519,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:00~13:00,-,-
349,새애양약국,전라남도 여수시 율촌면 구암1길 53-3,061-683-7781,127.6229259,34.8436089,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
350,새약국,"전라남도 보성군 조성면 조성로 103,",061-857-9055,127.2460174,34.8076417,07:00~18:00,07:00~18:00,07:00~18:00,07:00~18:00,07:00~18:00,08:00~17:00,-,-
351,새열린온누리약국,전라남도 무안군 무안읍 면성1길 113,061-452-8537,126.4740983,34.9879067,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:00,-,-
352,새옥곡약국,전라남도 광양시 옥곡면 옥진로 675,061-772-5575,127.7010064,34.9888428,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-
353,새장흥약국,전라남도 장흥군 장흥읍 중앙로1길 7-1,061-863-0690,126.909514,34.6774649,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
354,새종로약국,전라남도 화순군 화순읍 중앙로 87 (화순읍),061-374-3358,126.9911015,35.060627,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,09:00~13:00
355,새종로약국,전라남도 영광군 영광읍 신남로 191,061-353-0300,126.5029393,35.2761361,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~15:50,-,-
356,새중앙약국,전라남도 화순군 화순읍 칠충로 103,061-372-7580,126.9812718,35.058489,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-
357,새중앙약국,전라남도 장흥군 장흥읍 중앙로 23-1 (),061-864-8875,126.907992,34.6780812,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
358,새천일약국,전라남도 여수시 중앙로 72-20,061-665-1001,127.735268,34.7397462,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,08:00~18:30,08:00~18:30,-
359,새태평양약국,전라남도 함평군 나산면 나산길 58 (나산면),061-324-1448,126.6109218,35.1124034,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~18:00,-,-
360,새하나약국,"전라남도 순천시 팔마로 217, 1층 (덕암동)",061-745-3311,127.5099473,34.9403325,08:50~19:00,08:50~19:00,08:50~19:00,08:50~19:00,08:50~19:00,08:50~16:30,-,-
361,새한약국,전라남도 보성군 미력면 가평길 36-19,061-853-2279,127.1037932,34.7751149,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~12:30,-,-
362,새현대약국,전라남도 나주시 세지면 동창로 136-6,061-331-5021,,,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~12:00,-,-
363,새희망약국,"전라남도 담양군 담양읍 죽녹원로 51,",061-381-1790,126.9849266,35.319545,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,08:30~12:30,-,-
364,새희망약국,전라남도 보성군 벌교읍 채동선로 232 (),061-857-7532,127.3450849,34.8427911,07:30~17:30,07:30~17:30,07:30~17:30,07:30~17:30,07:30~17:30,07:30~12:30,-,-
365,새희망한약국,"전라남도 광양시 중동로 49, 1층 (중동)",061-794-8875,127.6940642,34.9414105,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,-,-
366,샘물약국,전라남도 해남군 해남읍 중앙2로 127-3,061-536-0357,126.5955612,34.5669021,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-
367,샘터약국,"전라남도 목포시 영산로 304-1, (용당동)",061-279-6169,126.39898,34.8052178,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
368,샛별약국,전라남도 나주시 월정1길 41 (빛가람동),061-331-7582,126.7872957,35.0097379,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
369,생약국,전라남도 광양시 광양읍 칠성로 51,061-761-3597,127.5842752,34.9790391,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,-,09:00~18:00,-
370,서울약국,전라남도 영암군 영암읍 중앙로 68,061-473-7575,,,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
371,서울약국,"전라남도 영광군 영광읍 옥당로 235-15,",061-351-1261,126.5005283,35.2840094,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~13:30,-,-
372,서울약국,"전라남도 담양군 담양읍 죽녹원로 53,",061-381-2263,126.9849691,35.3197085,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,-,-
373,서울약국,전라남도 목포시 용당로 232 (용당동),061-274-4546,126.3987365,34.8075996,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~19:00,10:00~18:00,10:00~18:00
374,서울약국,전라남도 고흥군 고흥읍 여산당촌길 19,061-833-5552,127.2812352,34.6077132,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,-,-
375,서정약국,"전라남도 여수시 서교2길 2, (서교동)",061-642-3786,127.7281283,34.7411807,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,-,-
376,선샤인약국,전라남도 광양시 광장로 148-3,061-793-3151,127.694308,34.9353788,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,09:00~13:00
377,선재약국,"전라남도 여수시 쌍봉로 24, (학동)",061-686-8858,127.6586854,34.7662748,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
378,설산약국,전라남도 곡성군 옥과면 대학로 160,061-363-3151,127.1367738,35.2766609,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
379,섬지약국,전라남도 구례군 구례읍 로터리길 20,061-782-3382,127.4666327,35.2088599,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,09:00~13:00,-,-
380,성골롬반약국,"전라남도 영암군 삼호읍 신항로 63-5,",061-461-1439,126.3807147,34.7447692,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~18:30,-,-
381,성남약국,전라남도 목포시 용당로 197 (용당동),061-276-5928,126.3984016,34.8046035,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,-,09:00~20:00
382,성대약국,"전라남도 순천시 팔마로 130-1, (조곡동)",061-744-3046,127.5025616,34.945097,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-,-
383,성모약국,전라남도 나주시 남평읍 남평1로 28,061-333-8773,126.8408868,35.0467596,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~19:00,-,09:00~12:00
384,성모약국,전라남도 순천시 해룡면 순광로 220,061-724-5707,127.5426906,34.963105,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,17:00~22:30,17:00~22:30
385,성모약국,전라남도 목포시 번화로 39-1 (중앙동1가),061-243-3614,126.3838193,34.7865008,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,-,-
386,성모온누리약국,"전라남도 광양시 중마중앙로 15, (중동)",061-795-3200,127.6977284,34.9315471,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
387,성신약국,"전라남도 순천시 비행장길 22, (매곡동)",061-752-8400,127.4838313,34.9572873,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,09:00~13:00,-,-
388,성심약국,"전라남도 영광군 영광읍 신남로 200,",061-351-0903,126.503777,35.2757517,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-
389,성심약국,"전라남도 순천시 해룡면 순광로 218,",061-723-2272,127.5423741,34.9630412,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,10:00~13:00,-,-
390,성심약국,"전라남도 여수시 돌산읍 망월대길 13-1, 1층",061-644-5595,127.7231581,34.6154191,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,-,-
391,성호약국,"전라남도 여수시 어항로 1, (봉산동)",061-642-3081,127.7191144,34.7328956,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-
392,세계로약국,"전라남도 여수시 여서로 158, (여서동)",061-653-9777,127.6991323,34.7479166,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:30~22:00,08:30~22:00
393,세명약국,"전라남도 신안군 비금면 송치길 155-19,",061-275-7588,125.9327628,34.7212122,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~17:00,-,-
394,세명약국,전라남도 순천시 호남길 3 (행동),061-752-3334,127.4837284,34.9569146,07:30~22:00,07:30~22:00,07:30~22:00,07:30~22:00,07:30~22:00,08:00~22:00,08:00~22:00,08:00~22:00
395,세명약국,전라남도 여수시 중앙로 61-1,061-662-0020,127.7343953,34.7403151,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,08:30~13:00,-,-
396,세브란스약국,"전라남도 순천시 이수로 315, (조례동)",061-721-4318,127.5181705,34.9538071,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,-,-
397,세신약국,전라남도 목포시 용당로 159 (용당동),061-276-0569,126.4003301,34.8015667,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~18:00,-,08:00~18:00
398,세운약국,"전라남도 여수시 소호로 483, (소호동)",061-681-2088,127.6534235,34.7456117,09:00~19:50,09:00~19:50,09:00~19:50,09:00~19:50,09:00~19:50,09:00~18:30,-,-
399,세일약국,"전라남도 여수시 통제영2길 8, 1층 (교동)",061-661-0634,127.7329912,34.7408938,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:30,-,-
400,세종약국,"전라남도 광양시 광양읍 칠성로 55,",061-763-8275,127.5846596,34.9790532,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,09:00~18:00,-
401,세종약국,전라남도 보성군 벌교읍 채동선로 269,061-858-0322,127.3436131,34.845997,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-
402,세화당정한약국,"전라남도 순천시 매곡2길 2, 가동 1층 (매곡동)",061-755-2412,,,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,-,-
403,센트럴약국,전라남도 여수시 둔덕2길 6-1 (미평동),061-652-2580,,,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
404,센트럴약국,전라남도 여수시 둔덕2길 6-1(미평동),061-652-2580,,,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
405,센트럴약국,전라남도 목포시 백년대로 304 1층 (상동),061-981-7588,126.4210695,34.8037227,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~16:00,09:00~13:00,09:00~12:30
