,NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,lat,lng
2506,2507,위메이크약국,02-553-7981,서울특별시 강남구 강남대로 422,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,14:00~21:00,10:00~21:00,37.5003941401087,127.026984908497
2507,2508,인수당약국,02-963-6300,서울특별시 동대문구 약령시로 52 (제기동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,37.5826568881801,127.035697221753
2508,2509,위래약국,02-415-8146,"서울특별시 송파구 백제고분로 262, 2층 (삼전동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.5022670319477,127.095398831219
2509,2510,위드팜천사약국,02-484-5152,"서울특별시 강동구 천호대로 1107, 101호 (길동,강동역SK허브)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-,37.5355802857957,127.134841810959
2510,2511,위드팜만보약국,02-474-0051,"서울특별시 강동구 진황도로61길 52, (둔촌동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~18:00,-,-,37.5282068722657,127.14589704272
2511,2512,위드팜대학약국,02-974-7668,"서울특별시 노원구 한글비석로 56, 1층 10호 (하계동, 미성아파트상가)",08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:30~17:00,-,-,37.6358704004552,127.068692930122
2512,2513,웰빙메디칼약국,02-984-2752,"서울특별시 강북구 도봉로 187, Y빌딩 (미아동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,11:00~18:00,-,37.6254205559935,127.026184524499
2513,2514,월드중앙약국,070-4191-1885,"서울특별시 도봉구 마들로 650, 104-2호 (방학동,도봉월드상가)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,,
2514,2515,월드약국,02-6678-2244,"서울특별시 양천구 목동서로 77, 129호(목동,현대월드타워상가)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.5359631978743,126.877988123429
2515,2516,월곡약국,02-913-2900,서울특별시 성북구 화랑로11길 6 (하월곡동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,09:00~21:30,37.6025878804497,127.041569082835
2516,2517,월계약국,02-905-2340,서울특별시 노원구 월계로45길 28,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.6268415975561,127.050970904678
2517,2518,원이약국,02-333-3131,"서울특별시 마포구 와우산로 94, 제2기숙사 지하1층 B110호 (상수동)",09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,11:00~22:00,09:30~23:00,-,37.5525192523979,126.924990619497
2518,2519,원약국,02-2064-7599,"서울특별시 강서구 남부순환로11가길 104, 1층 (공항동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,-,-,37.5582066121367,126.813516560468
2519,2520,운용약국,02-912-3417,서울특별시 성북구 회기로 9 (종암동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~13:00,-,-,37.5914379793668,127.037675882357
2520,2521,운산약국,02-983-1003,서울특별시 강북구 도봉로 260 (미아동),08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~16:00,-,-,37.6317067557155,127.024422935028
2521,2522,우정약국,02-816-7711,서울특별시 동작구 서달로 144 (흑석동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~14:00,-,-,37.5062431107495,126.961349648499
2522,2523,우정약국,02-432-4927,"서울특별시 중랑구 망우로 428, 우정약국 1층 (망우동)",09:30~22:20,09:30~22:20,09:30~22:20,09:30~22:20,09:30~22:20,09:30~22:20,09:30~22:00,09:30~22:00,37.5994888819392,127.0997353556
2523,2524,우신약국,02-2632-7700,서울특별시 영등포구 영등포로 250-1 (영등포동3가),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,08:30~21:00,37.5188555532674,126.909111788699
2524,2525,우성약국,02-936-6603,서울특별시 노원구 한글비석로 463,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,37.6642163473947,127.066437317536
2525,2526,종로약국,02-438-8447,"서울특별시 중랑구 면목로 319, 1층 (면목동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.5804345971945,127.088210625453
2526,2527,우성당약국,02-845-9312,"서울특별시 동작구 여의대방로 22, 104호 (신대방동)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~17:00,-,-,37.4910969139998,126.911813692107
2527,2528,우선약국,02-433-1946,서울특별시 중랑구 봉화산로 61 (중화동),08:40~18:00,08:40~18:00,08:40~18:00,08:40~18:00,08:40~18:00,08:40~14:00,-,-,37.6017802609902,127.081319137241
2528,2529,우방약국,02-846-7784,서울특별시 동작구 시흥대로 638 (신대방동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~14:00,-,-,37.4888493308126,126.90674185448
2529,2530,우면메디칼약국,02-575-0234,"서울특별시 서초구 태봉로 62, 105호 (우면동, 네이처프라자)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,-,-,-,37.464057071815,127.024997566281
2530,2531,우림시장약국,02-854-3254,"서울특별시 관악구 난곡로26길 13, (신림동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-,37.4705429317532,126.920729188095
2531,2532,우리약국,02-431-1221,"서울특별시 송파구 오금로 404, 원일빌딩 (가락동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,08:30~18:00,08:30~13:30,37.4975927810188,127.135121781578
2532,2533,우리보건약국,02-433-8221,"서울특별시 중랑구 사가정로51길 45, 우리보건약국 (면목동)",08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,-,-,37.5828974405524,127.087756596085
2533,2534,우리들약국,02-977-3225,서울특별시 노원구 월계로 370,08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,08:00~18:00,-,-,37.6309766775099,127.06102564028
2534,2535,용화당약국,02-949-7877,서울특별시 노원구 노원로16길 21 (하계동) 중계주공9단지아파트106호,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,-,-,37.6421285089207,127.07368840486
2535,2536,용일약국,02-336-4340,"서울특별시 서대문구 홍제천로2길 32, (연희동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,37.5697408703814,126.920536902409
2536,2537,용수약국,02-923-4756,서울특별시 성북구 동소문로13나길 111 (동소문동7가),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,-,-,37.5961165122017,127.014772967949
2537,2538,외대조은약국,02-960-4983,"서울특별시 동대문구 휘경로 10, 1층 (이문동)",09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,10:00~24:00,10:00~24:00,37.5959422581056,127.061058277535
2538,2539,옵티마세원약국,02-887-1970,"서울특별시 관악구 쑥고개로 68, (봉천동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,-,37.4793856240803,126.943845404449
2539,2540,옵티마찬미약국,02-790-4080,서울특별시 용산구 대사관로30길 17 (한남동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,10:00~16:00,-,-,37.5325199375614,127.005659084915
2540,2541,옵티마미소약국,02-554-1383,"서울특별시 강남구 논현로 570, 부봉빌딩 1층 일부호 (역삼동)",07:50~19:00,07:50~19:00,07:50~19:00,07:50~19:00,07:50~19:00,07:50~15:00,09:00~13:00,-,37.5071296978174,127.034278348291
2541,2542,올리브약국,02-477-0969,"서울특별시 송파구 강동대로7길 3, 1층 (풍납동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,37.5271110772883,127.115345159324
2542,2543,온누리영광약국,02-931-8869,서울특별시 노원구 동일로228길 35,11:30~19:00,11:30~19:00,11:30~19:00,11:30~19:00,11:30~19:00,11:30~16:00,-,-,37.6679405988859,127.059064100243
2543,2544,온누리솔약국,02-415-6667,"서울특별시 송파구 올림픽로35길 112, 2동 303호 (신천동, 장미아파트 비상가)",08:50~19:20,08:50~19:20,08:50~19:20,08:50~19:20,08:50~19:20,08:50~16:20,-,-,37.5178827571707,127.101802779596
2544,2545,예사랑온누리약국,02-358-6226,서울특별시 은평구 갈현로11길 43,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,11:00~14:00,-,-,37.6047278307348,126.905810536235
2545,2546,영원약국,02-3288-9988,서울특별시 강남구 봉은사로 108 1층,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,37.5045343010782,127.02559203235
2546,2547,영양과건강약국,02-3445-6625,"서울특별시 강남구 강남대로 532, 202호(논현동, 은훈빌딩)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-,37.5095752504461,127.022459413481
2547,2548,영약국,02-993-1878,서울특별시 강북구 한천로170길 5 (수유동),09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~16:00,-,-,37.6480252776792,127.016178701403
2548,2549,영등포21세기온누리약국,02-2636-7588,서울특별시 영등포구 당산로36길 12,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,37.5280790617135,126.897806070117
2549,2550,연약국,02-554-8199,"서울특별시 강남구 영동대로 416, 케이티앤지 타워 지하1층 (대치동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-,37.5065841136869,127.065326637295
2550,2551,연세참사랑약국,02-979-0770,"서울특별시 노원구 동일로 992, 101호 (공릉동)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~14:30,-,-,37.6188069845363,127.075608063742
2551,2552,연세약국,02-438-1996,"서울특별시 중랑구 망우로63길 5, 연세약국 (망우동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~17:30,-,-,37.5997878837941,127.098599726585
2552,2553,역삼오늘약국,02-554-1472,"서울특별시 강남구 테헤란로26길 10, 성보빌딩 2층 (역삼동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,-,-,-,37.4996347605088,127.035838830564
2553,2554,여의도미소약국,070-8848-0330,"서울특별시 영등포구 국제금융로6길 30, 백상빌딩 317호 (여의도동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,37.5217236269281,126.926603815659
2554,2555,에이티약국,02-3411-1632,서울특별시 서초구 강남대로 27,09:30~17:00,09:30~17:00,09:30~17:00,09:30~17:00,09:30~17:00,-,13:00~17:00,-,37.4682787075426,127.039136433366
2555,2556,어약국,02-902-5119,서울특별시 강북구 삼각산로 132 (수유동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~15:00,-,-,37.6408548242776,127.019012322076
2556,2557,약사랑옵티마약국,02-2298-2262,"서울특별시 성동구 난계로 35, 2층 (금호동1가)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,37.5555256358422,127.024481346904
2557,2558,압구정미약국,02-548-0085,"서울특별시 강남구 논현로175길 25, 102호 (신사동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,-,-,-,37.5254380769865,127.026646963083
2558,2559,압구정예주약국,02-545-3819,"서울특별시 강남구 압구정로29길 65, 442빌딩 지하1층 (압구정동)",09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,37.5318069076157,127.027000294801
2559,2560,압구정길약국,070-8844-1195,"서울특별시 강남구 압구정로 130, 종화빌딩 1층 (신사동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.5241470917534,127.022921489083
2560,2561,안국온누리약국,02-900-3980,서울특별시 강북구 한천로 1058 (수유동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,37.641385861855,127.025268175689
2561,2562,아름약국,02-2658-4158,서울특별시 강서구 양천로 366,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,37.567229491149,126.842894199033
2562,2563,신흥약국,02-914-4103,서울특별시 성북구 보국문로 76 (정릉동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.6111326389855,127.008974425923
2563,2564,신한약국,02-567-5738,"서울특별시 강남구 도곡로 515, 2층 202호(대치동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:30,-,-,37.4997771909726,127.06267769754
2564,2565,신평화약국,02-2233-2587,서울특별시 중구 청계천로 298 (신당동),12:00~23:59,12:00~23:59,12:00~23:59,12:00~23:59,12:00~23:59,-,-,-,37.5694538182223,127.011069634436
2565,2566,신중앙약국,02-943-8331,"서울특별시 성북구 종암로 68, 1층 (종암동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.5964224046412,127.035781023281
2566,2567,신양온누리약국,02-804-1230,서울특별시 금천구 시흥대로58길 38 (시흥동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,37.4536563962992,126.903356999504
2567,2568,시민약국,02-736-6512,"서울특별시 종로구 자하문로 2, (적선동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,37.5763480340398,126.972731523498
2568,2569,스타약국,02-3434-1586,"서울특별시 송파구 송파대로 562 (신천동, 한빛프라자 3층)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~16:00,-,-,37.5153235254771,127.099502662936
2569,2570,스마트약국,02-400-0998,"서울특별시 송파구 오금로 508, 스타빌딩 1층 (거여동)",09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,-,-,-,37.4928621788522,127.145041801116
2570,2571,수태평양약국,02-2625-2601,"서울특별시 구로구 고척로 144, 두발로빌딩 1층 (고척동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,37.5026751992737,126.849970000444
2571,2572,수약국,02-2699-7189,"서울특별시 양천구 중앙로 247, 1층 (신정동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-,37.5183880750987,126.853415771975
2572,2573,송파사거리약국,02-420-4452,"서울특별시 송파구 송파대로 387, 1층 (석촌동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,37.5019285058551,127.109546043899
2573,2574,송파미소약국,02-425-3296,"서울특별시 송파구 올림픽로35길 10, B동 308-1호 (신천동, 파크리오)",08:40~20:00,08:40~20:00,08:40~20:00,08:40~20:00,08:40~20:00,08:40~15:00,-,-,37.5203140390086,127.113265047998
2574,2575,솔벗약국,02-3216-8151,"서울특별시 서대문구 세검정로 72, (홍제동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,-,-,37.5939493033684,126.948261521078
2575,2576,소망온누리약국,02-373-6288,서울특별시 은평구 가좌로5길 22-1 (응암동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,37.586886140756,126.920383493973
2576,2577,소망온누리약국,02-2699-5662,서울특별시 양천구 지양로 68 (신월동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~21:00,-,37.5217541775735,126.834108366768
2577,2578,소망약국,02-6337-3107,"서울특별시 동작구 신대방1가길 38, 105동 305, 306호 (신대방동, 동작상떼빌아파트)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,-,-,37.487900996008,126.906939551385
2578,2579,소담약국,02-765-2126,"서울특별시 종로구 성균관로 18, (명륜2가)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,13:00~21:00,-,37.5844061348081,126.997641346393
2579,2580,센트럴약국,02-549-1210,서울특별시 강남구 봉은사로 211,09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~16:30,-,-,37.5079803352646,127.03520187295
2580,2581,센츄럴팜약국,02-393-5505,서울특별시 중구 한강대로 405 (봉래동2가),10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,-,37.5547278494914,126.969526329341
2581,2582,세성심약국,02-832-9144,서울특별시 영등포구 시흥대로187길 1,08:30~18:20,08:30~18:20,08:30~18:20,08:30~18:20,08:30~18:20,08:30~13:00,-,-,37.4923751349944,126.908680378587
2582,2583,세민약국,02-739-8851,"서울특별시 종로구 자하문로7길 73, 101호 (누하동, 트라이빌)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.5803827900266,126.968787928755
2583,2584,세곡리엔약국,02-445-8604,서울특별시 강남구 헌릉로570길 34,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~14:00,-,-,37.4631480963128,127.103468343169
2584,2585,석촌온누리약국,02-421-9789,"서울특별시 송파구 송파대로 438, 103호 (송파동)",09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,-,-,-,37.5059260588638,127.107019269988
2585,2586,서울대학약국,02-2069-1755,"서울특별시 영등포구 버드나루로7길 3, 경동미르웰 여의도 1층 105호 (영등포동2가)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,37.5229759681115,126.910342559913
2586,2587,샬롬약국,02-817-6880,서울특별시 동작구 성대로2길 12 (상도동),08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~15:00,-,-,37.499444303876,126.931230488992
2587,2588,새한약국,02-946-0688,"서울특별시 강북구 도봉로 67, 새한빌딩 1층 102호 (미아동)",09:00~20:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.6151179500675,127.02958154164
2588,2589,새봄약국,02-542-9307,"서울특별시 강남구 압구정로 152, 108호 (신사동, 극동스포츠빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,-,09:30~17:00,37.5255648913174,127.026048899405
2589,2590,새봄약국,02-3217-1684,"서울특별시 서대문구 통일로 413, 6층 604호 (홍제동, 연세스포츠센터)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,37.5861817569167,126.946438736626
2590,2591,희영온누리약국,02-547-1950,서울특별시 강남구 봉은사로 471 (삼성동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.5127262745682,127.051239538093
2591,2592,희경약국,02-813-0716,"서울특별시 동작구 상도로 99, 1층 (상도동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~16:00,-,-,37.5003757770685,126.931408204111
2592,2593,새미약국,02-586-7618,"서울특별시 동작구 동작대로 25, 4층 (사당동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.4787457051365,126.981343915956
2593,2594,호랑이약국,02-484-6960,"서울특별시 강동구 천호대로 1089, 지하1층 B19호 (천호동, 강동역 신동아 파밀리에)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:30,-,-,37.5366048791746,127.133115595362
2594,2595,새미래약국,02-2602-5269,서울특별시 강서구 화곡로 196 (화곡동),09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~17:00,09:00~13:00,-,37.5430172380173,126.843002615908
2595,2596,행복약국,02-2631-6967,서울특별시 영등포구 양평로 127 (양평동5가),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,37.5377817354409,126.893497671952
2596,2597,삼성약국,02-904-2088,서울특별시 강북구 한천로 1120 (수유동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,10:00~21:00,09:00~21:00,37.6450987438405,127.020019929684
2597,2598,해성약국,02-528-3528,"서울특별시 강남구 테헤란로 504, 지하1층 (대치동,해성빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-,37.5066268201681,127.057346932213
2598,2599,해가든약국,02-821-8531,"서울특별시 동작구 서달로 150, 202호 (흑석동, 해가든상가)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-,37.5066265781961,126.962183786625
2599,2600,한신코아약국,02-899-1377,서울특별시 금천구 한내로 62,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,37.4553907327009,126.888877845611
2600,2601,하늘온누리약국,02-3443-3359,서울특별시 강남구 영동대로 602 (삼성동) 삼성동 미켈란 1075층 일부,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~17:00,-,-,37.5146843299638,127.06058006245
2601,2602,삼성도담약국,02-543-6610,"서울특별시 강남구 봉은사로 469, 1층 (삼성동)",09:30~15:00,09:30~15:00,09:30~15:00,09:30~15:00,09:30~15:00,-,-,-,37.5125880736373,127.050791985991
2602,2603,평화약국,02-336-6307,"서울특별시 마포구 양화로 64, 서교제일빌딩 2층 202호 (서교동)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~20:00,08:00~15:00,-,-,37.5503095776344,126.915802998181
2603,2604,튼튼약국,02-856-0528,서울특별시 관악구 신원로 16,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,37.4807396753723,126.927931907461
2604,2605,산돌약국,02-3431-9800,"서울특별시 송파구 백제고분로46길 9, 보인빌딩 (송파동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-,37.5084835726039,127.112343143181
2605,2606,사가정약국,02-434-7234,"서울특별시 중랑구 사가정로51길 3, (면목동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~18:00,-,-,37.5810200995396,127.08767752155
2606,2607,태화약국,02-465-4971,"서울특별시 성동구 아차산로7길 2, (성수동2가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.545368292626,127.054282513964
2607,2608,비타민약국,02-414-5145,"서울특별시 송파구 석촌호수로 61 (잠실동, 트리지움상가 305호)",09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,-,-,-,37.5107020036631,127.086211355223
2608,2609,보라매온누리약국,02-812-4881,서울특별시 동작구 보라매로 93 (신대방동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,37.4977975981503,126.927714337339
2609,2610,천수온누리약국,02-864-3897,서울특별시 금천구 가산로 111,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,37.4756196441839,126.892926734418
2610,2611,병원약국,02-578-9933,서울특별시 강남구 영동대로138길 9 107호,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,-,37.5229050350666,127.056494441884
2611,2612,참약국,02-737-4855,"서울특별시 종로구 종로 22, 606호(서린동,인주빌딩)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,37.5698767761425,126.979674332514
2612,2613,참사랑약국,02-942-3137,서울특별시 성북구 장위로 107 (장위동),08:30~15:00,08:30~15:00,08:30~15:00,08:30~15:00,08:30~15:00,-,-,-,37.6137361327974,127.048765362303
2613,2614,방일약국,02-582-4204,"서울특별시 서초구 방배로13길 31, (방배동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.4825150856091,126.994847028723
2614,2615,차오름약국,02-2658-7577,"서울특별시 강서구 양천로 655, 2층 (염창동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~14:00,-,-,37.5529582470986,126.870177188525
2615,2616,지혜약국,02-2603-5553,"서울특별시 강서구 가로공원로76길 73, 2층 (화곡동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,-,-,37.5339952987106,126.83855303361
2616,2617,밝은중앙약국,02-482-2621,서울특별시 송파구 강동대로 73 (풍납동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,37.5267647356462,127.115618174281
2617,2618,지민약국,02-953-5674,서울특별시 성북구 삼선교로 87 (삼선동4가),09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,-,-,37.5899631575414,127.015015299902
2618,2619,밝은약국,02-422-0317,"서울특별시 송파구 올림픽로 119 (잠실동, 파인애플상가 3A04호)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,37.512084433428,127.08418616626
2619,2620,중외약국,02-549-1771,서울특별시 강남구 학동로4길 35 (논현동),10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,-,-,37.5091847279371,127.023972507853
2620,2621,중앙온누리약국,070-8860-5070,서울특별시 강동구 아리수로 427,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.5649623335076,127.174603355856
2621,2622,중앙온누리약국,02-903-3005,"서울특별시 도봉구 덕릉로 241, 1층 (창동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,37.6393880477357,127.038496699287
2622,2623,중계수암약국,02-934-8466,서울특별시 노원구 덕릉로 694 (중계동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,-,37.659577527186,127.075612445638
2623,2624,중앙약국,02-491-0081,"서울특별시 중랑구 신내로 128 (신내동, 동성아파트)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,37.6089405259894,127.097809061184
2624,2625,중앙약국,02-984-8480,서울특별시 강북구 오현로 191,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~19:00,-,-,37.6288204286432,127.03919474484
2625,2626,중앙약국,02-869-0966,서울특별시 관악구 난곡로 367,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~17:00,-,-,37.4867009567317,126.913354117853
